Rank;Country/Territory;Capital;Continent; Population_2024 ; Population_2022 ; Population_2020 ; Population_2015 ; Population_2010 ; Population_2000 ; Area (km²) ; Density (per km²) ; Growth_Rate ; Growth_Absolute ;Growth_Percent; Population World
72;Senegal;Dakar;Africa; 18.501.984 ; 17.316.449 ; 16.436.119 ; 14.356.181 ; 12.530.121 ; 9.704.287 ; 196.722 ; 88.025 ; 10.261 ; 8.797.697 ;91%; 22
100;Togo;Lomé;Africa; 9.515.236 ; 8.848.699 ; 8.442.580 ; 7.473.229 ; 6.571.855 ; 5.008.035 ; 56.785 ; 1.558.281 ; 10.236 ; 4.507.201 ;90%; 11
6;Nigeria;Abuja;Africa; 232.679.478 ; 218.541.212 ; 208.327.405 ; 183.995.785 ; 160.952.853 ; 122.851.984 ; 923.768 ; 2.365.759 ; 10.241 ; 109.827.494 ;89%; 274
102;Sierra Leone;Freetown;Africa; 8.642.022 ; 8.605.718 ; 8.233.969 ; 7.314.773 ; 6.436.698 ; 4.584.067 ; 71.740 ; 119.957 ; 1.022 ; 4.057.955 ;89%; 11
35;Iraq;Baghdad;Asia; 46.042.015 ; 44.496.122 ; 42.556.984 ; 37.757.813 ; 31.264.875 ; 24.628.858 ; 438.317 ; 1.015.158 ; 10.221 ; 21.413.157 ;87%; 56
27;Kenya;Nairobi;Africa; 56.432.944 ; 54.027.487 ; 51.985.780 ; 46.851.488 ; 41.517.895 ; 30.851.606 ; 580.367 ; 930.919 ; 10.193 ; 25.581.338 ;83%; 68
149;Guinea-Bissau;Bissau;Africa; 2.201.352 ; 2.105.566 ; 2.015.828 ; 1.788.919 ; 1.567.220 ; 1.230.849 ; 36.125 ; 582.856 ; 10.218 ; 970.503 ;79%; 3
75;Guinea;Conakry;Africa; 14.754.785 ; 13.859.341 ; 13.205.153 ; 11.625.998 ; 10.270.728 ; 8.336.967 ; 245.857 ; 563.716 ; 10.242 ; 6.417.818 ;77%; 17
76;Rwanda;Kigali;Africa; 14.256.567 ; 13.776.698 ; 13.146.362 ; 11.642.959 ; 10.309.031 ; 8.109.989 ; 26.338 ; 5.230.731 ; 10.234 ; 6.146.578 ;76%; 17
47;Ghana;Accra;Africa; 34.427.414 ; 33.475.870 ; 32.180.401 ; 28.870.939 ; 25.574.719 ; 19.665.502 ; 238.533 ; 1.403.406 ; 10.196 ; 14.761.912 ;75%; 42
95;Tajikistan;Dushanbe;Asia; 10.590.927 ; 9.952.787 ; 9.543.207 ; 8.524.063 ; 7.621.779 ; 6.272.998 ; 143.100 ; 695.513 ; 10.208 ; 4.317.929 ;69%; 12
145;Namibia;Windhoek;Africa; 3.030.131 ; 2.567.012 ; 2.489.098 ; 2.282.704 ; 2.099.271 ; 1.819.141 ; 825.615 ; 31.092 ; 10.146 ; 1.210.990 ;67%; 3
111;Turkmenistan;Ashgabat;Asia; 7.494.498 ; 6.430.770 ; 6.250.438 ; 5.766.431 ; 5.267.970 ; 4.569.132 ; 488.100 ; 131.751 ; 1.014 ; 2.925.366 ;64%; 8
14;Egypt;Cairo;Africa; 116.538.258 ; 110.990.103 ; 107.465.134 ; 97.723.799 ; 87.252.413 ; 71.371.371 ; 1.002.450 ; 1.107.188 ; 10.158 ; 45.166.887 ;63%; 139
5;Pakistan;Islamabad;Asia; 251.269.164 ; 235.824.862 ; 227.196.741 ; 210.969.298 ; 194.454.498 ; 154.369.924 ; 881.912 ; 2.674.018 ; 10.191 ; 96.899.240 ;63%; 296
89;Honduras;Tegucigalpa;North America; 10.825.703 ; 10.432.860 ; 10.121.763 ; 9.294.505 ; 8.450.933 ; 6.656.725 ; 112.492 ; 927.431 ; 1.015 ; 4.168.978 ;63%; 13
155;Timor-Leste;Dili;Asia; 1.400.638 ; 1.341.296 ; 1.299.995 ; 1.205.813 ; 1.088.486 ; 878.360 ; 14.874 ; 901.772 ; 10.154 ; 522.278 ;59%; 2
41;Saudi Arabia;Riyadh;Asia; 33.962.757 ; 36.408.820 ; 35.997.107 ; 32.749.848 ; 29.411.929 ; 21.547.390 ; 2.149.690 ; 169.368 ; 10.128 ; 12.415.367 ;58%; 46
160;Djibouti;Djibouti;Africa; 1.168.722 ; 1.120.849 ; 1.090.156 ; 1.006.259 ; 919.199 ; 742.033 ; 23.200 ; 483.125 ; 10.138 ; 426.689 ;58%; 1
68;Guatemala;Guatemala City;North America; 18.406.359 ; 17.843.908 ; 17.362.718 ; 16.001.107 ; 14.543.121 ; 11.735.894 ; 108.889 ; 1.638.725 ; 10.134 ; 6.670.465 ;57%; 22
45;Malaysia;Kuala Lumpur;Asia; 35.557.673 ; 33.938.221 ; 33.199.993 ; 31.068.833 ; 28.717.731 ; 22.945.150 ; 330.803 ; 1.025.934 ; 10.109 ; 12.612.523 ;55%; 43
98;Israel;Jerusalem;Asia; 9.387.021 ; 9.038.309 ; 8.757.489 ; 8.007.778 ; 7.328.445 ; 6.116.958 ; 20.770 ; 4.351.617 ; 10.155 ; 3.270.063 ;53%; 11
34;Algeria;Algiers;Africa; 46.814.308 ; 44.903.225 ; 43.451.666 ; 39.543.154 ; 35.856.344 ; 30.774.621 ; 2.381.741 ; 188.531 ; 10.164 ; 16.039.687 ;52%; 56
60;Syria;Damascus;Asia; 24.672.760 ; 22.125.249 ; 20.772.595 ; 19.205.178 ; 22.337.563 ; 16.307.654 ; 185.180 ; 1.194.797 ; 10.376 ; 8.365.106 ;51%; 28
128;Panama;Panama City;North America; 4.515.577 ; 4.408.581 ; 4.294.396 ; 3.957.099 ; 3.623.617 ; 3.001.731 ; 75.417 ; 584.561 ; 10.132 ; 1.513.846 ;50%; 6
13;Philippines;Manila;Asia; 115.843.670 ; 115.559.009 ; 112.190.977 ; 103.031.365 ; 94.636.700 ; 77.958.223 ; 342.353 ; 3.375.434 ; 10.147 ; 37.885.447 ;49%; 145
132;Eritrea;Asmara;Africa; 3.535.603 ; 3.684.032 ; 3.555.868 ; 3.340.006 ; 3.147.727 ; 2.392.880 ; 117.600 ; 313.268 ; 10.176 ; 1.142.723 ;48%; 5
144;Botswana;Gaborone;Africa; 2.521.139 ; 2.630.296 ; 2.546.402 ; 2.305.171 ; 2.091.664 ; 1.726.985 ; 582.000 ; 45.194 ; 10.162 ; 794.154 ;46%; 3
43;Uzbekistan;Tashkent;Asia; 36.361.859 ; 34.627.652 ; 33.526.656 ; 30.949.417 ; 28.614.227 ; 24.925.554 ; 447.400 ; 773.975 ; 1.016 ; 11.436.305 ;46%; 43
110;Kyrgyzstan;Bishkek;Asia; 7.186.009 ; 6.630.623 ; 6.424.874 ; 5.914.980 ; 5.483.774 ; 4.935.182 ; 199.951 ; 331.612 ; 10.158 ; 2.250.827 ;46%; 8
73;Cambodia;Phnom Penh;Asia; 17.638.801 ; 16.767.842 ; 16.396.860 ; 15.417.523 ; 14.363.532 ; 12.118.841 ; 181.035 ; 926.221 ; 10.108 ; 5.519.960 ;46%; 21
80;Bolivia;Sucre;South America; 12.413.315 ; 12.224.110 ; 11.936.162 ; 11.090.085 ; 10.223.270 ; 8.592.656 ; 1.098.581 ; 111.272 ; 1.012 ; 3.820.659 ;44%; 15
113;Singapore;Singapore;Asia; 5.832.387 ; 5.975.689 ; 5.909.869 ; 5.650.018 ; 5.163.590 ; 4.053.602 ; 710 ; 84.164.634 ; 10.058 ; 1.778.785 ;44%; 7
67;Ecuador;Quito;South America; 18.135.478 ; 18.001.000 ; 17.588.595 ; 16.195.902 ; 14.989.585 ; 12.626.507 ; 276.841 ; 650.229 ; 10.114 ; 5.508.971 ;44%; 23
158;Cyprus;Nicosia;Europe; 1.358.282 ; 1.251.488 ; 1.237.537 ; 1.187.280 ; 1.129.686 ; 948.237 ; 9.251 ; 1.352.814 ; 10.059 ; 410.045 ;43%; 2
107;Libya;Tripoli;Africa; 7.381.023 ; 6.812.341 ; 6.653.942 ; 6.192.235 ; 6.491.988 ; 5.154.790 ; 1.759.540 ; 38.717 ; 10.114 ; 2.226.233 ;43%; 9
103;Laos;Vientiane;Asia; 7.769.819 ; 7.529.475 ; 7.319.399 ; 6.787.419 ; 6.323.418 ; 5.430.853 ; 236.800 ; 317.968 ; 10.141 ; 2.338.966 ;43%; 9
117;Central African Republic;Bangui;Africa; 5.330.690 ; 5.579.144 ; 5.343.020 ; 4.819.333 ; 4.660.067 ; 3.759.170 ; 622.984 ; 89.555 ; 10.224 ; 1.571.520 ;42%; 7
134;Mongolia;Ulaanbaatar;Asia; 3.475.540 ; 3.398.366 ; 3.294.335 ; 2.964.749 ; 2.702.520 ; 2.450.979 ; 1.564.110 ; 21.727 ; 10.151 ; 1.024.561 ;42%; 4
82;Haiti;Port-au-Prince;North America; 11.772.557 ; 11.584.996 ; 11.306.801 ; 10.563.757 ; 9.842.880 ; 8.360.225 ; 27.750 ; 4.174.773 ; 1.012 ; 3.412.332 ;41%; 15
74;Zimbabwe;Harare;Africa; 16.634.373 ; 16.320.537 ; 15.669.666 ; 14.154.937 ; 12.839.771 ; 11.834.676 ; 390.757 ; 417.665 ; 10.204 ; 4.799.697 ;41%; 2
55;Australia;Canberra;Oceania; 26.713.205 ; 26.177.413 ; 25.670.051 ; 23.820.236 ; 22.019.168 ; 19.017.963 ; 7.692.024 ; 34.032 ; 10.099 ; 7.695.242 ;40%; 33
17;Iran;Tehran;Asia; 91.567.738 ; 88.550.570 ; 87.290.193 ; 81.790.841 ; 75.373.855 ; 65.544.383 ; 1.648.195 ; 537.258 ; 10.071 ; 26.023.355 ;40%; 111
